Country,Year,Gender,State Name ,Type Of Area,"Percentage Of Unemployment Rate (Ur)  (UOM:%(Percentage)), Scaling Factor:1"
India,"Financial Year (Apr - Mar), 2021",Total,Assam,Rural,8.2
India,"Financial Year (Apr - Mar), 2021",Female,Assam,Total,14.3
India,"Financial Year (Apr - Mar), 2021",Male,Assam,Total,7.1
India,"Financial Year (Apr - Mar), 2021",Total,Assam,Total,8.3
India,"Financial Year (Apr - Mar), 2021",Female,Assam,Urban,18.6
India,"Financial Year (Apr - Mar), 2021",Male,Assam,Urban,6.5
India,"Financial Year (Apr - Mar), 2021",Total,Assam,Urban,9.0
India,"Financial Year (Apr - Mar), 2021",Female,Manipur,Rural,12.1
India,"Financial Year (Apr - Mar), 2021",Male,Manipur,Rural,8.9
India,"Financial Year (Apr - Mar), 2021",Total,Manipur,Rural,9.8
India,"Financial Year (Apr - Mar), 2021",Female,Manipur,Total,11.2
India,"Financial Year (Apr - Mar), 2021",Male,Manipur,Total,9.7
India,"Financial Year (Apr - Mar), 2021",Total,Manipur,Total,10.1
India,"Financial Year (Apr - Mar), 2021",Female,Manipur,Urban,9.4
India,"Financial Year (Apr - Mar), 2021",Male,Manipur,Urban,11.9
India,"Financial Year (Apr - Mar), 2021",Total,Manipur,Urban,11.0
India,"Financial Year (Apr - Mar), 2021",Female,Meghalaya,Rural,1.5
India,"Financial Year (Apr - Mar), 2021",Male,Meghalaya,Rural,1.0
India,"Financial Year (Apr - Mar), 2021",Total,Meghalaya,Rural,1.2
India,"Financial Year (Apr - Mar), 2021",Female,Meghalaya,Total,3.7
India,"Financial Year (Apr - Mar), 2021",Male,Meghalaya,Total,2.2
India,"Financial Year (Apr - Mar), 2021",Total,Meghalaya,Total,2.8
India,"Financial Year (Apr - Mar), 2021",Female,Meghalaya,Urban,18.6
India,"Financial Year (Apr - Mar), 2021",Male,Meghalaya,Urban,7.9
India,"Financial Year (Apr - Mar), 2021",Total,Meghalaya,Urban,11.3
India,"Financial Year (Apr - Mar), 2021",Female,Mizoram,Rural,2.9
India,"Financial Year (Apr - Mar), 2021",Male,Mizoram,Rural,5.0
India,"Financial Year (Apr - Mar), 2021",Total,Mizoram,Rural,4.4
India,"Financial Year (Apr - Mar), 2021",Female,Mizoram,Total,5.9
India,"Financial Year (Apr - Mar), 2021",Male,Mizoram,Total,6.0
India,"Financial Year (Apr - Mar), 2021",Total,Mizoram,Total,6.0
India,"Financial Year (Apr - Mar), 2021",Female,Mizoram,Urban,9.1
India,"Financial Year (Apr - Mar), 2021",Male,Mizoram,Urban,7.3
India,"Financial Year (Apr - Mar), 2021",Total,Mizoram,Urban,8.0
India,"Financial Year (Apr - Mar), 2021",Female,Nagaland,Rural,29.8
India,"Financial Year (Apr - Mar), 2021",Male,Nagaland,Rural,27.5
India,"Financial Year (Apr - Mar), 2021",Total,Nagaland,Rural,28.3
India,"Financial Year (Apr - Mar), 2021",Female,Nagaland,Total,30.1
India,"Financial Year (Apr - Mar), 2021",Male,Nagaland,Total,26.7
India,"Financial Year (Apr - Mar), 2021",Total,Nagaland,Total,27.8
India,"Financial Year (Apr - Mar), 2021",Female,Nagaland,Urban,31.1
India,"Financial Year (Apr - Mar), 2021",Male,Nagaland,Urban,24.6
India,"Financial Year (Apr - Mar), 2021",Total,Nagaland,Urban,26.6
India,"Financial Year (Apr - Mar), 2021",Female,Sikkim,Rural,1.5
India,"Financial Year (Apr - Mar), 2021",Male,Sikkim,Rural,2.8
India,"Financial Year (Apr - Mar), 2021",Total,Sikkim,Rural,2.3
India,"Financial Year (Apr - Mar), 2021",Female,Sikkim,Total,1.8
India,"Financial Year (Apr - Mar), 2021",Male,Sikkim,Total,2.9
India,"Financial Year (Apr - Mar), 2021",Total,Sikkim,Total,2.4
India,"Financial Year (Apr - Mar), 2021",Female,Sikkim,Urban,3.0
India,"Financial Year (Apr - Mar), 2021",Male,Sikkim,Urban,2.9
India,"Financial Year (Apr - Mar), 2021",Total,Sikkim,Urban,3.0
India,"Financial Year (Apr - Mar), 2021",Female,Tripura,Rural,2.6
India,"Financial Year (Apr - Mar), 2021",Male,Tripura,Rural,3.3
India,"Financial Year (Apr - Mar), 2021",Total,Tripura,Rural,3.1
India,"Financial Year (Apr - Mar), 2021",Female,Tripura,Total,2.9
India,"Financial Year (Apr - Mar), 2021",Male,Tripura,Total,3.6
India,"Financial Year (Apr - Mar), 2021",Total,Tripura,Total,3.5
India,"Financial Year (Apr - Mar), 2021",Female,Tripura,Urban,4.5
India,"Financial Year (Apr - Mar), 2021",Male,Tripura,Urban,5.1
India,"Financial Year (Apr - Mar), 2021",Total,Tripura,Urban,4.9
India,"Financial Year (Apr - Mar), 2020",Female,All India,Rural,3.8
India,"Financial Year (Apr - Mar), 2020",Male,All India,Rural,6.0
India,"Financial Year (Apr - Mar), 2020",Total,All India,Rural,5.4
India,"Financial Year (Apr - Mar), 2020",Female,All India,Total,5.5
India,"Financial Year (Apr - Mar), 2020",Male,All India,Total,6.5
India,"Financial Year (Apr - Mar), 2020",Total,All India,Total,6.2
India,"Financial Year (Apr - Mar), 2020",Female,All India,Urban,10.3
India,"Financial Year (Apr - Mar), 2020",Male,All India,Urban,7.4
India,"Financial Year (Apr - Mar), 2020",Total,All India,Urban,8.0
India,"Financial Year (Apr - Mar), 2020",Female,Arunachal  Pradesh,Rural,12.3
India,"Financial Year (Apr - Mar), 2020",Male,Arunachal  Pradesh,Rural,6.0
India,"Financial Year (Apr - Mar), 2020",Total,Arunachal  Pradesh,Rural,7.1
India,"Financial Year (Apr - Mar), 2020",Female,Arunachal  Pradesh,Total,14.9
India,"Financial Year (Apr - Mar), 2020",Male,Arunachal  Pradesh,Total,6.2
India,"Financial Year (Apr - Mar), 2020",Total,Arunachal  Pradesh,Total,7.7
India,"Financial Year (Apr - Mar), 2020",Female,Arunachal  Pradesh,Urban,28.9
India,"Financial Year (Apr - Mar), 2020",Male,Arunachal  Pradesh,Urban,7.6
